Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,12045,1958,04,09,16.7,1,Y
IDCJAC0011,12045,1958,04,10,20.0,1,Y
IDCJAC0011,12045,1958,04,11,18.9,1,Y
IDCJAC0011,12045,1958,04,12,19.4,1,Y
IDCJAC0011,12045,1958,04,13,15.6,1,Y
IDCJAC0011,12045,1958,04,14,8.9,1,Y
IDCJAC0011,12045,1958,04,15,8.3,1,Y
IDCJAC0011,12045,1958,04,16,10.0,1,Y
IDCJAC0011,12045,1958,04,17,17.8,1,Y
IDCJAC0011,12045,1958,04,18,12.2,1,Y
IDCJAC0011,12045,1958,04,19,10.0,1,Y
IDCJAC0011,12045,1958,04,20,11.7,1,Y
IDCJAC0011,12045,1958,04,21,15.6,1,Y
IDCJAC0011,12045,1958,04,22,15.6,1,Y
IDCJAC0011,12045,1958,04,23,15.6,1,Y
IDCJAC0011,12045,1958,04,24,12.8,1,Y
IDCJAC0011,12045,1958,04,25,17.8,1,Y
IDCJAC0011,12045,1958,04,26,17.8,1,Y
IDCJAC0011,12045,1958,04,27,15.0,1,Y
IDCJAC0011,12045,1958,04,28,19.4,1,Y
IDCJAC0011,12045,1958,04,29,20.0,1,Y
IDCJAC0011,12045,1958,04,30,16.7,1,Y
IDCJAC0011,12045,1958,05,01,12.8,1,Y
IDCJAC0011,12045,1958,05,02,14.4,1,Y
IDCJAC0011,12045,1958,05,03,15.0,1,Y
IDCJAC0011,12045,1958,05,04,15.0,1,Y
IDCJAC0011,12045,1958,05,05,12.8,1,Y
IDCJAC0011,12045,1958,05,06,18.3,1,Y
IDCJAC0011,12045,1958,05,07,16.7,1,Y
